stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0.28,0,0.28,2.82,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.1,0,0,0.83,0.1,0.1,0.21,0,0.1,0,0,0.1
22Month,0,0.14,0.14,2.05,0,0.14,0,0.14,0,0,0.14,0
