stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0.85,0,0,0.56,0,0,0,1.69,2.25,0,1.13,0.28,0,0,0.28,0,0,0
21Day,1.48,0,1.11,0,0.37,0,0.37,0,0,0.37,0,0.74,0,0,0,0,1.85,0,0,0.37,1.85,1.48,0,1.11,0.37,0,0.74,0,0,0,0.37
3Month,0,0,1.25,0,0,0.1,0.21,0.42,0,2.18,0.52,0,0.21,0.31,0.62,0,0.73,0.1,0.1,0,0,0,0,0,0.42,1.77,0,0,0.1,0.42,0.42
22Month,0,0.14,0.41,0,0,0,0,0,0.14,3.69,0.55,0,0.41,0.14,0.14,0.14,0.41,0,0,0,0,0,0.14,0.14,0.14,0.55,0,0,0,0,0
