stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell
72hpf,0.28,0.28,0,0.28,0,0.56,0.28,2.54,0,0.28,0,0,0
21Day,0,0.74,0,0,0,1.11,0,2.22,0,0,0.37,0,1.11
3Month,0,0,0.31,0,0,0,0,0,0,0,0,0,0
22Month,0,0.27,0.68,0,0.14,0,0,0,0.27,0,0,0.14,0
