stage,Cardiomyocyte,Endothelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,1.69,2.25,0.85,0,0.28,0,0,0.28,0
21Day,0,0,0,0,0.37,0,0,1.48,4.44,2.59,0,0,0,0.37,1.85,0.37
3Month,0,0.1,0,0,0.1,0.1,0.21,0.21,0,0,0.1,0,0.1,0,0.1,0
22Month,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0.14,0
