stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,16,0,0,0,72,249,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,1.97,0,0,0.56,0.85,0,0,0,0,0,0,0,0,0,0.28,2.25,0,13.25,0,0,0,87.37,31.85,0.56,0.28,3.66,0.28,0,5.07,0,0,0,0,0,0
21Day,11.84,0.37,0,2.96,3.7,0,0,0,0,0,0.74,0,1.48,1.48,0,1.11,0.37,17.02,0,0.74,0,79.55,47.73,0.37,0,1.11,2.59,0.37,7.77,1.11,1.48,0.74,0,0,1.48
3Month,0.1,0,0,1.14,0,0.21,0.1,0.1,0.31,0,1.14,0.52,0,0.31,0,0.1,0.31,1.56,0.1,0,0.1,0.52,0.1,0.21,0.21,0,0,0.42,0,0,0,0,0.21,0.42,0.31
22Month,0,0.14,0.14,1.09,0,0.14,0,0.27,1.5,0.41,11.34,0.14,0.14,1.78,0,0.55,1.23,1.09,0.14,0.68,0,0.41,0.14,0.14,0.14,0.14,0,0.27,0,0,0,0.14,0.14,0,0.14
