stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,81,0,0,0,0
72hpf,0.85,0.28,0.28,0.28,0,0.28,0,0,0,0,0,0,0.85,0,0,2.54,16.63,0.56,0,0.28,0
21Day,1.48,0.37,1.85,3.33,1.48,0,0,0.37,4.07,0.37,0.37,0.74,1.85,0,0.74,1.85,11.84,0.37,0.74,0,1.11
3Month,0,0,0.1,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0.1,0,0,0.52,0
22Month,0,0,0,0,0,0.14,0.41,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0
