stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0,0,0,0,0,0.28,0.85,0,0.28,0.28,0,1.97,1.13,0,0.56,0,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0.74,0.37,0,0.37,0,0.74,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0,0,0.1,0.73,0.1,1.56,0.21,0,0.1,0.21,0.31,0,0.21,0,0,0,0,0,0,0,0.62,0.21,0.21
22Month,0,0,0,0.14,0,1.5,0.14,0,0.55,0,0,0.14,0.14,0.14,0.14,0,0,0.14,0,0,0,0,0.14
