stage,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,5.36,1.97,0.28,0,0.56,0,0,0,0
21Day,1.11,0,0.37,0,0.37,0.37,0,0.74,0,0.74,0.74,0,0,0.37,0,0,0.37,0
3Month,0.42,0,0,0.62,0.42,0,0.21,0,0.1,0,0,0,0,0,0.1,0.1,0,0.21
22Month,0.27,0.14,0,3.14,0.55,0,0,0,0.68,0,0,0.14,0.27,0,0,0,0.14,0
