stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,1,0,2,0,0,0,0,0
72hpf,0,0,0,0,0,0,2.82,0,0.28,0.28,0,0.28,0
21Day,0.37,0,0,0,0,0,1.11,0,0,0,0.37,0,0
3Month,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0.21
22Month,0,0,0.27,0.27,0.68,0,0,0,0.14,0,0,0,0
