stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.85,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,9.58,0.28,0,0,0.28,0,0,0.56,0,0,0,0
21Day,0,0,1.48,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.74,0.74,0,0,0,0,1.11,0,0.37,0,0.37,0
3Month,0.62,0.31,6.55,0,0.1,0.62,0.31,4.37,0.52,0,1.66,1.66,0.52,1.04,1.04,0.1,0,0.62,1.46,0.1,0.21,0.1,0,0.1,29.12,0.1,0,0.1,146.77,1.46
22Month,0.27,0.14,1.91,0,0,0.14,0,1.78,0,0.27,0.55,0,0.14,0.14,0.41,0,0.14,0.27,0,0,0,0,0,0,4.51,0.14,0,0,0.27,0
