stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,1,1,0,0,21,1,0,0,0,0,0,0,0
72hpf,1.13,0,0.28,1.13,0.85,0,0.28,2.25,0,3.1,0.28,134.16,14.66,0.28,5.64,0,3.95,0,0,0.56,0
21Day,0.37,0.37,0.37,0.37,1.11,1.11,0.37,0.37,0.37,2.59,0,14.8,2.96,0,1.85,1.11,0.74,0.37,0.37,0,1.48
