stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,8,0,0,0,0,0,0,0,0,0,0,6,1,5,0,0,0,0,83,13,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.85,0.28,0,0,0,0,0,0,0,0,0.85,2.82,0.28,1.41,0,0.28,0,0,24.8,0.85,0,0.28,2.25,0,0,0.56,0,0,0.85,0,0,0
21Day,0.37,0,0.74,0,0,0,0,0,0.37,0,0.37,0,0,1.11,0,0.37,0,0,0.74,0,9.25,0,0,0,0,0,0.74,0,0,1.11,0,0,0,0
3Month,0,0.21,6.66,0,0.1,0.1,0.21,0.83,3.64,0.73,0.1,1.35,0.73,4.26,0.83,10.09,1.46,0.1,0.42,0.52,4.68,0,0.83,6.14,0,0.83,69.69,0,0,0,0,0.73,49.62,0.73
22Month,0,0.14,0.55,0,0.14,0,0,0.27,4.51,0.14,0.14,0.68,0,0.55,0.14,8.06,0.41,0.14,0,0,2.87,0,0.41,9.43,0.14,0,6.83,0,0.14,0,0,0,0,0.55
