stage,Epithelial_cell,Hepatocyte,Immune_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0.28,0.28,0,0
21Day,0,0,0,1.11,0,0,0
3Month,0.1,0.21,0.1,0,0,0.1,0.73
