stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,61,1,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,6.2,0,0.28,0,0,0,0,0,0,0,0,1.69,133.31,0.28,0.56,0,0.28,0,6.48,3.1,0.28,0.28,0,0.85,0,0,0.28,0,0,0,0,0
21Day,1.11,0,0,56.98,0,2.22,0,0,0,0,0.74,0.37,1.11,0.37,0.37,314.49,1.11,4.81,0,0,0.37,4.44,1.11,0.37,0,0,3.33,2.59,0.74,0,0.37,3.7,0.37,0.37,0
3Month,0.1,0,0.1,27.36,0.1,0,0.1,0.31,0.73,0.1,4.89,1.46,0,2.29,0.1,0.62,0.62,0.31,0.21,0,0.1,0,0,0,0.1,0,0,0.1,3.54,0,0,0,0.1,0.73,0.52
22Month,0,0,0.27,1.64,0,0,0.14,0.14,1.5,0.55,12.16,1.37,0.41,2.32,0,0.27,0.82,0.82,0,0.14,0,0,0,0.14,0,0.14,0.14,0.27,2.32,0,0.14,0,0,0,0.41
