stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,2.25,0,0.28,0,0,0.28,0.28,0
21Day,1.85,1.48,0.37,0.37,0,0,0,0,0.37,0,0.74,0.37,0.74,0,0,0,3.33,0.37,0,0.37,0.37,0,0.37,0.37
3Month,0,0,0,0,0.21,0,0.42,0.1,0,0,0,0.1,0,0.1,0,0.1,0,0,0.1,0,0.1,0,0,0.1
22Month,0,0.41,0,0,0,0.27,0.41,0,0,0.14,0,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0
