stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Osteoblast,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0
21Day,0,1.48,0,0,0,0,0.74,0,0,0,0,0,0
3Month,0,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0.21
22Month,0.14,0.27,0,0.55,0.41,0,0,0.14,0.14,0.14,0,0.14,0
