stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,46,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
72hpf,65.11,0.28,0,0.56,0.28,0.28,0,0,0,0,0,0.56,2.25,0.56,0.85,0,0,0,0,7.05,2.82,0,2.82,0,0.85,0,0,0.56,0,0
21Day,32.19,0,0,0.74,0.74,0,0,0.37,0,0.37,0,0,0.74,0,1.48,0,0.37,0.74,0,1.85,0,0,3.33,0,0.37,0.37,0,0.74,0,0
3Month,18.1,0.1,0.1,0.83,0,0.1,0.31,0.73,0.42,0,5.82,0,0.1,0,0.31,0.1,0,0.1,1.35,0.1,0,0.1,1.35,0,0,0.31,0.31,0,0.1,0.21
22Month,12.3,0,0,0,0,0,0.41,1.09,0,0.27,1.5,0,0,0.27,0,0.14,0,0,0,0,0,0,0,0.27,0,0,0.82,0,0,0
