stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,2,0,0,0,0,0,2,1,0,8,0,0,0,2,23,0,0,2,0,0,0,1,0,0,0
72hpf,0.56,0.85,0,0,0,0,0,0,0,0,0.28,0,3.1,0,0,0,0.28,1.97,0,0,3.1,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,2.59,0,0.37,0,0,0,0,0,0.74,0,0,0,0,0,0,0
3Month,0,0.1,0.1,1.56,0.42,0.31,1.04,0.52,1.46,0.1,0.1,0.21,0.62,0.1,0,0,0.31,0.21,0.21,0.1,0,0.1,22.26,0.21,0,0.31,7.8,0.73
22Month,0,2.46,0,0,0,0,0.27,0,0.27,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0,0.14,4.1,0,0,0,0,0
