stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,15,0,1,30,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0.28,0.28,0,0,0,0,0,8.74,0,6.48,1.41,0,0,11.56,0,0,1.41,0,0,0,0
21Day,1.48,0.37,0,0,0,0,0,0,0,0,0.37,9.99,0.37,1.85,0.37,0,0,9.25,0.37,0.37,0,0.37,0,0,0
3Month,0,0,0.1,0.73,0,0,0.42,0,1.14,0.1,0.31,0.42,0.1,0.21,0,0,0,0,0.21,0.21,0,0,0.1,1.98,0.31
22Month,0,0.14,0,0.14,0,0,0.27,0.27,2.87,0,0.27,0.27,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0
