stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,8.74,1.69,0,0.85,0,0,0,0,0,0,0
21Day,0,0,1.48,0,0,0,0.37,0,0,0,0,0,0,1.48,0,0,5.18,0.74,0,0,0.74,0.37,0.37,0.37,0.37,0,0
3Month,0.1,0,3.22,0.21,0.21,0,2.81,0.21,0.1,2.08,0.1,0.62,0.42,0.83,0.21,0.31,1.04,0.1,0.21,0,0,5.62,0.31,0,0,0.42,3.95
22Month,0,0.14,0,0,0.14,0,0.82,0.14,0.14,0.55,0,0,0.14,0.55,0,0,0,0,0,0,0.14,1.37,0,0,0,0,0
