stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0
3Month,0.1,13.31,0.31,2.7,0.1,0.21,0.31,0.73,2.08,1.04,0.31,1.04,0.62,0.94,1.35,0.73,0.31,0.52,0.1,0,0.21,0.1,0,0.42,0.94,0.1,118.37,0.73,0.73
22Month,0.14,6.97,0,0,0,0,0,0.14,2.87,0.27,0.41,0.27,0,0.14,0.27,0.27,0,0.14,0,0,0,0,0,0,0.55,0.14,12.44,0,0.14
