stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.56,0,0,0,0,0,0.28,0,0.28,0,0.28,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0,0.1,0.1,1.14,0.42,0,0,0.1,0.1,0.1,0.1,0,0,0,0.1,0.21,3.22,0
22Month,0.14,0,0.14,7.38,2.87,0.14,0.41,0,0.14,0,0,0,0.14,0,0,0,0,0.14
