stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,1,0,0,1,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,1.41,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0.37,0.37,2.96,0.37,0,0,0
3Month,0.42,0,0,1.14,0.1,0.31,0,0.21,0.1,0,0,0.1,0.1,0.31
22Month,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0
