stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0.28,0,1.97,0.28,0,0,0,0,0.85,0,0
21Day,0,0,1.11,0,0.37,0,0,0,0,0.37,0,0,1.11,0,0.74,0,0.37,0.37,0,0.37,0.74,0,0,0,0
3Month,0.1,0.1,1.46,0.1,0,0.1,0,0.73,0.1,0,0.42,0.42,0.62,0.1,0,0.1,0.31,0,0.1,0,0,4.06,0,0.1,15.19
22Month,0,0,0.27,0,0,0,0.27,1.91,0,0,0.41,0,0,0,0.14,0.14,0.14,0,0,0,0,0.82,0.14,0,0
