stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.61,0,0.28,0,0,0.56,0,0,0,0
21Day,0.37,0,0.37,0,0.37,0,0,0.37,0.37,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0
3Month,0,0,0.73,0.1,0.31,0.52,0.83,0.1,0,0.31,0.1,0.1,0.42,0.1,0.1,0.21,0,0,0,0.1,0.42,0,0,0,0.94,0.52
22Month,0,0.14,0.55,0.14,0.27,0.27,3.83,0.27,0,0.55,0,0.27,0.27,0.41,0.14,0.14,0.27,0,0.14,0,0.27,0,0,0.14,0,0.55
