stage,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,1.69,0,0.28,0,0
21Day,0,0,0,0,0.37,0,0,0,0
3Month,0.1,0,0.1,0.1,0,0,0,0.1,0.1
22Month,0.27,0.14,0,0,0,0,0,0,0
