stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,2,1,10,0,0,0,0,0,0,0,0,0,0,2,2,7,0,0,0,0,0,59,0,2,0,0,0,0,0,0
72hpf,0,0,0.85,0.56,0,0,0,0,0,0,0.28,0,0.56,1.13,0,0.85,0,0.28,0,0,1.13,2.82,0,0.85,0,0,0,0.28,0,0
21Day,0,0,2.22,0,0,0,0,0,0,0,0,0.37,0,0,0,0.74,0,0,0,0,0,1.85,0,0,0.37,0,0,0,0.37,0
3Month,0,0,0.73,0,0,0.1,0,0,0.31,0,0,0.1,0,0.1,0,0.21,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0,0.21,0.1,0,0,0
22Month,0,0,0,0,0.14,0.27,0.27,0.14,2.32,0.14,0,0.14,0,0,0.68,0.27,0,0,0,0,0.14,0,0,0,0,0,0.14,0,0,0.14
