stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,5,1,0,0,0,0,0,0,0,0,0,1,5,0,0,2,51,0,0,0,0,0,0,1,0,0,0
72hpf,0.56,0,0,1.13,0.28,0,0,0,0,0,0,0,0,2.25,0,1.97,0,0,1.69,2.82,0,2.82,0,0,0.85,0,0.28,0,0,0
21Day,0.74,0,0,2.96,0.74,0.37,0,0,0,0,0,0,0,0.74,0.37,7.03,0,0.74,0.74,1.11,0,4.81,0,0,0.37,0.37,0,0,0,0
3Month,0.1,0.21,0,1.46,0,0,0.31,0.21,0,3.33,0.21,0.42,0.31,1.56,0.31,2.81,0.42,0.21,0,0,0.1,0,0.1,0.1,0,0,0,0.1,6.66,0.21
22Month,0,0,0.14,0.14,0,0,0,0,0.14,2.73,0,0.27,0,0,0.41,0.41,0,0,0,0,0,0,0,0.14,0.14,0,0,0,0,0
