stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.85,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,16.65,0,0.74,0,0.37,0,0,0.37,0,0,0,0.37,3.7,0,0.37,0,0,0.74,0,0,0,0,0,0.37,0,0,0,0,0,0,0.74
3Month,0,0.1,0.1,22.68,0,0,0.21,0.1,1.35,0.73,2.7,0.52,0.1,1.46,0.83,0.73,0.62,1.04,0.21,0,0.62,0.52,0.1,0,0.1,0,0.1,0.42,21.95,0.1,0.1,0.1,15.71,0.62
22Month,0,0.14,0.14,21.18,0.14,0,0.41,0,0.27,1.23,11.62,0.68,0.14,0.96,0.55,0.55,1.23,0.82,0,0.14,0.55,0.27,0.14,0,0.14,0.14,0,0.14,1.37,0.14,0,0,0,0.55
