stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,12,1,1336,0,2,0,0,0,3,0,0,0,0,5,13,14,35,0,0,0,1,6,153,0,0,4,0,0,0,0,0,0,0,0
72hpf,5.92,1.41,224.07,0.85,6.76,0,0,0,0,0,0,0,0.28,3.66,619.78,0.28,9.02,0,0.28,0.56,0,60.32,30.72,0.56,0.56,19.17,0,0,5.92,0,0.85,1.97,0,0
21Day,0.74,0,38.85,0.37,1.85,0.37,0,0.37,0,0.37,0.37,1.48,1.11,1.11,146.88,1.11,6.29,0,0,0.37,0,7.4,1.11,0.37,0,1.85,1.48,0,0.37,0.37,0.74,0.37,0,0.37
3Month,0,0,8.74,0,0,0,0.1,0,0,0.62,0.21,0,0.21,0.1,0.62,0,0.94,0.21,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,1.46,0
22Month,0,0,2.19,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0
