stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0.85,0,0,0,0.28,0,0,0,1.41,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0,1.85,0.74,0,0,4.81,0,0,1.11,8.51,0,0,0.37,1.85,1.11,0,0,0,1.85,0.74,0,0.37,0.37,0,0,0.37,0.37,0.37,0,0,11.47
3Month,0.21,0.21,1.77,0,0,0.21,39.84,0,2.18,17.68,1.25,1.04,0.21,0.42,11.96,1.04,0.21,0.21,0.21,0.1,0,0.1,0,0.1,0.1,0.1,0,0,0,0.31,0.31,12.79
22Month,0,0,0.27,0,0.27,0.27,39.49,0.14,3.01,8.88,1.91,0.27,0,0,4.78,0.14,0,0.14,0,0.14,0,0,0,0,0.14,0.55,0,0.14,0,0,0,4.78
