stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
3Month,0,0.83,0.1,0.21,0,0.73,0.1,0,0.42,0,0.1,0,0,0.1,0,0.52,0.1,0
22Month,0.14,0.41,0,0.14,0.14,7.93,0.41,0.14,0.41,0.41,0.41,0.27,0.27,0,0.14,0.14,0,0.27
