stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0,1,18,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0,0,0,0,0,0,0,3.66,1.69,0.56,0.56,0,0.28,0.28,16.91,1.69,0,0,1.13,0,0,0.56,0.28,0,2.54,0,0,0
21Day,0.37,0,0.74,0.74,0,0,0,0,0,0.37,0,11.47,1.11,1.11,2.96,0,2.22,0,7.03,2.59,0.37,0,0.74,0.37,0,1.48,0.37,0.37,5.18,0,0,0
3Month,0,0.1,1.66,0,0.1,0.1,1.25,2.91,0.42,0,0.52,12.69,0.73,0.83,1.25,0,0.42,4.16,0.1,0,0.21,0,0.1,0.31,1.98,0,0,0,0.52,0.83,0.52,0.21
22Month,0,0.14,0.14,0,0,0.14,1.09,3.69,0.27,0,0.68,0.41,0.14,1.37,0.55,0.14,0.27,0.14,0.14,0,0,0.27,0.14,0.14,0.68,0,0,0,0.14,0,0,0.14
