stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,28,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,5.07,0,11.27,0.28,0.85,0,0,0,0,0,0,0,0,0,0.28,14.37,0.28,34.39,0,0,3.1,0,22.55,5.92,0.28,1.41,0,39.18,0,0,0.28,0,0.56,0,0,0
21Day,11.1,0.37,9.25,0.37,1.11,0,0,0,0,0.37,0,0,0.74,0,0.37,1.11,0.37,58.46,0,0.37,11.84,0,8.88,2.59,0,1.11,0,4.44,2.22,0,0,0.37,0.74,0,0,0
3Month,0,0.62,8.74,0.21,0,0.21,0.1,0.62,3.33,0,2.39,1.46,0.62,1.14,0.52,2.7,4.06,2.29,0.31,0,0.42,0.1,0.83,0.21,0.73,0.42,0,0,0.52,3.95,0.31,0,0.21,0.31,0.31,3.02
22Month,0,0.14,2.19,0,0,0,0,0.41,3.14,2.73,7.38,0.14,0.41,0.96,0,0.27,3.28,0.96,0,0.14,0.14,0,0.27,0,0.27,2.32,0.27,0,0,1.09,1.5,0.27,0,0,0,1.23
