stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,10,2,0,0,0,0,0,0,0,33,0,0,0,0,1,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,10.71,9.58,0,0,0,0,0,0,0,0,0.28,0,0,0,3.38,6.2,0,0,0,0.85,0,0,4.51,2.54,1.13,0,0,0,3.95,0.85,0.56,0,0,0,0
21Day,0.37,0,0,41.81,4.81,1.85,0,0.37,0,7.03,0,0,0,2.22,0,0.37,0,1.11,4.81,0.74,1.11,0,0,5.18,0,2.59,3.33,1.48,0.37,0,0.37,5.18,2.96,0.37,0.37,0,0,0
3Month,0.1,0.21,0.21,31.31,0.21,0,0.1,0,0.1,51.9,0.83,0,0,5.93,1.25,0,1.35,1.14,0.94,1.14,1.25,0.31,0,6.35,0.52,1.46,0,4.47,0,0,0,1.35,13.11,0,0,0.21,14.98,0.62
22Month,0,0.41,0.14,15.44,0.55,0,0.27,0.14,0,30.2,0.27,0.14,0.14,40.45,0.14,0,3.55,0.27,0.96,0.55,0.82,0,0.68,2.87,0,0.41,0,5.47,0.14,1.5,0,0.14,6.56,0.14,0,0,0.27,0.14
