stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0.85,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0.28,0,0,0,0,0.85,0.56,0,0,0,0,0,0.28,0,0,0
21Day,0.37,0,0,4.44,1.85,0,0.37,0.74,0,0,0.37,0.74,1.48,0.74,0,1.48,0.74,2.22,0.37,0,0,0,1.48,0,0,0,0.37,0.74,0,0.37,0,0,0.37
3Month,0,0.1,0,6.66,0,0.1,0,4.68,1.35,0,8.32,2.5,0.21,9.67,0,1.35,1.35,1.46,0.42,0,1.46,0.52,0.1,0,0.1,0.31,0.1,0.21,0.73,0,0.31,0.42,0.83
22Month,0,0.41,0.27,0.55,0,0.14,0.14,1.09,1.09,0,9.02,0.41,0,9.84,0,0.14,0.68,0.55,0,0.14,0.41,0,0,0,0.14,0.14,0,0.14,0,0,0.14,0,0.27
