stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0.28,0,0,0
21Day,0,0,1.85,0.37,1.11,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0.37,0.74,0,0,0,0.37,0,0,0,0,1.85
3Month,0,0.1,4.68,0.1,0,0.1,0.1,0.62,0.42,0,5.41,0.31,0.21,6.97,0.42,1.04,1.25,0.52,0,0.21,0.62,0.52,0,0.31,0.21,0,0.1,2.08,0,1.35,0.42,2.6
22Month,0.68,0.14,1.37,0,0,0,0,0.14,0.14,1.23,10.25,0,0.27,3.01,0.14,0.27,0.41,0.68,0.14,0.27,0,0,0,0.14,0.27,0.14,0,0,0.41,0.14,0,0.41
