stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,1.13,0.28,0,0,0,0
21Day,0,0,0,1.11,0,0,0,0,0.37,0,0,0.74,0.37,0,0.37,0.74,0,0.37,0,0
3Month,0,0.1,0.1,0.52,0,0.31,0.21,0.21,0,0.1,0.1,0.42,0,0.31,0,0,0.1,0,0.1,0.62
22Month,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.14
