stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
72hpf,0,0,0.28,0.85,0,0,0,0,0,0,0,0,0,1.41,0.28,0,0,0,0
21Day,0,0,1.48,1.11,0,0.37,0,0,0,0,0,0,0.37,0,0.74,0,0.37,0,0
3Month,0,0.1,0.31,0,0.1,0,0.1,0.31,0.1,0.21,0.31,0.1,0.1,0,0,0,4.47,0.1,2.91
22Month,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.14,0.27,0,0
