stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0.21,0,1.46,0,0.21,0.21,0,6.14,0.62,0,2.18,0.1,0.21,0.31,0.21,0,0.1,0.1,0.31,0,0.42,16.75,0,0.1,0.42,0.31
22Month,0.14,0.14,0.55,0.14,0.14,0.14,0.14,39.22,0,0.27,1.37,0,0,0.55,0.41,0.68,0.14,0,0.27,0.14,0.14,1.09,0.14,0,0.14,0.14
