stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,3,5,12,2,0,0,0,0,0,4,6,37,0,0,0,10,247,0,5,0,0,0,0,0
72hpf,0,0.28,1.41,0.28,0.56,0,0,0,0.85,1.41,0,3.66,0,0.28,0.28,14.94,8.46,0,1.97,0,1.41,0,0.85,0
21Day,0,0,0.74,0,0.37,0,0.37,0,0,0,0,1.11,0,0.37,0,2.59,0.74,0,1.11,0,0,0.37,0.37,0
3Month,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0.1,0,0,0,0,1.04,0,0,0,0.21
22Month,0,0,0.41,0,0,0.14,0,2.6,0,0.14,0,0.41,0.27,0,0,0,0,0.27,0,0.68,0,0,0,0
