stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,11.27,1.41,0,0,0.28,0,0,0.56,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0.37,0,3.7,0.37,0,0.37,0,0.37,0,0,0,0
3Month,0,0.52,0,0.1,0,0,0,0,0.21,0.31,0,0,0.31,0,0,0.1,0,0,0.1,0.1,0,0.1,0.21,0,0.31,0.1
22Month,0,0.27,0,0,0.41,0.55,3.14,0.27,0.14,0.14,0,0.41,0.14,0.14,0.14,0,0.27,0,0.14,0,0,0,0.82,0,0,0
