stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0
3Month,0,0.31,0,0.1,0.73,0,0.31,0.1,0.31,0.1,0.21,0,1.46,0.1,0,0.1,3.02,3.85,0.21
22Month,0,0,0,0,1.09,0.14,0.14,0,0,0,0,0,0.82,0,0.14,0.14,0,0,0.27
