stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,1.69,0.56,0,0,0,0.56,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.74,0,0.74,0.37,0,0,0,0.74,0,0,0,0,0.74,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0
3Month,0.21,0.21,0.52,3.22,0,0.1,0.1,1.77,1.46,0,62.83,1.98,0,4.16,0.52,0.83,1.87,3.54,1.25,0.1,1.25,0.21,0.31,0,0.31,0.21,0,0.1,0.73,1.66,0.1,0,0.21,0.21,0.1,0.94
22Month,0.14,0.55,0,1.23,0,0.55,0,0.27,0.41,0.68,128.31,0.14,0,2.05,0.27,0.14,0.41,1.78,0,0.68,0.14,0,0,0.14,0.27,0.55,0.27,0.14,0.27,0.14,0.14,0.41,0,0,0,0.41
