stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,3,0,0,0,0,2,19,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.69,0.56,1.41,0,0,0,0,0,0,0,0,2.54,4.79,0,1.13,0,0.28,0.28,0,2.25,7.61,0,0,0,3.66,0,0,0.28,0.28,0.56,0,0,0
21Day,0.37,0,0,6.66,0.37,3.33,0,0.37,0,0.37,0,1.11,0.37,1.11,0.74,2.22,2.22,3.33,0,0,0.37,0,1.11,2.96,0,0.74,0,1.11,1.48,0,0.74,0.37,0,0,0,0
3Month,0,0.1,0.52,3.43,0,0,0.21,0.1,1.04,1.98,0,64.28,1.46,7.49,0.52,1.14,1.98,2.08,0.1,0.1,0.31,1.04,0,0.1,0.62,0.1,0,0.1,0.94,10.3,0.21,0,0,0.31,1.87,1.14
22Month,0.14,0.41,0.27,1.09,0.14,0,0.55,0,0.55,2.05,0.68,57.94,0.41,9.29,0.14,0.14,2.46,0.82,0.14,0.68,0.27,0,0,0,0.27,0.27,0.41,0.27,0.14,3.83,0.14,0.27,0,0.14,0,0.55
