stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,8,7,0,30,1,0,0,0,0,0,3,0,0,0,0,0,1,14,33,0,0,0,0,10,117,0,0,9,0,0,0,0,0,0,0,0,0
72hpf,3.66,1.69,0,14.94,1.13,1.69,0,0,0,0,0,0,0,0.56,0,1.41,6.76,0.28,36.64,0,0.28,0.28,0.28,41.71,33.82,0,0.56,23.96,0.28,0,0,9.3,0.56,0.28,0.28,0,0
21Day,10.36,0.37,0,30.34,0.37,1.48,0.37,0.74,0,0,0,0,0,2.59,0,1.48,5.55,2.22,28.86,0,0,2.59,0,10.73,3.33,1.11,0.37,16.65,0.37,0,0,1.48,0.37,1.85,0,0.74,0.74
3Month,0.1,0.1,0.21,1.35,0,0,0,0.1,0.1,0,0,0.31,0.73,0,0.1,0,0,0.31,0.73,0.21,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0,0.31,0.1
22Month,0,0.27,0.14,0.14,0,0,0,0,0.96,0.27,0,0.96,0.27,0.14,0.14,0,0,0.14,0.68,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
