stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,1.97,0.85,0,0,0.56,0,0,0.28,0,0,0
21Day,0.37,0,0,1.85,0,0.74,0,0,0,0,0,0,0,0.37,0.74,0,0.74,0,0,0.37,0.37,0,0,0,0.37,0.37,0,0,0,0
3Month,0,0,0.21,2.91,0,0,0.1,0.1,0.21,0.94,1.66,0.42,1.35,0,0.83,0.94,1.14,0.52,0.21,0,0,0.1,0.1,0.1,0.21,9.36,0,0.1,13.11,0.42
22Month,0,0.41,0,0.41,0,0,0,0,0,0,0.55,0,0.27,0,0,0.14,0,0,0,0.14,0,0.27,0,0,0,4.92,0,0,0,0
