stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0.85,0,0.28,0,0,1.41,0.28,0,0.28,0,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,0,0,1.85,0,0.37,0,0,0.74,0,0,0,0,0.37,0,0
3Month,0,0,0,0.62,0.1,0.21,0,1.35,0.21,0.21,0.73,0.21,0,0,0,0,0,0,0,0,0,0.1,0.1
22Month,0,0.14,0.14,0.27,0,0.27,0.82,7.24,0.68,0.68,0.14,0.82,0.41,0.14,0.27,0,0,0.14,0,0.27,0,0,0
