stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
72hpf,1.13,0.28,0,0,0,0,0,0,0,0.28,0,0.56,0.56,0,0,0
21Day,4.07,0.37,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0,0,0,0.1,0.1,0.21,0.31,0.1,0.21,0,0,0.1,0,0,0.1,0
22Month,0,0.14,0.14,0.41,0.27,0.68,0,0.14,0.41,0,0.41,0.14,0,0,0,0.14
