stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0,0.56,5.36,0,0,0,0,0,0,0,0,0,6.76,0,1.13,0,0.28,0,87.65,2.82,0,0.28,2.25,0,0,0.85,0.28,0,0,0,0
21Day,0.37,0,0,4.81,1.85,0.37,0,0.37,0,0,0,0.37,0.37,0,2.22,0,3.33,0,0,0,37.37,0.74,0,0.74,2.22,1.11,0,1.11,0.74,0.37,0,0,0
3Month,0,0,0.1,0.31,0.21,0,0.1,0,0.1,0.83,0.31,0,0.42,0.1,0.21,0.21,0.94,0.21,0,0.31,0.1,0,0.1,1.35,0,0.1,1.14,0.1,0,0,0.1,36.3,0.31
22Month,0,0.27,0,0,0,0,0,0.14,0.14,1.09,0,0,0.14,0,0,0,0.14,0,0.27,0.14,0.27,0,0,0.96,0,0,0.41,0,0,0,0,0,0.14
