stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
72hpf,113.02,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0.28,1.97,0,1.69,0,0,0,0,5.36,2.82,0,0,0.28,0,0,0.56,0,0.28,0,0
21Day,95.46,0.74,0,2.59,1.11,0,0,0.37,0,0.37,0,0.37,0,0,0.74,0.37,4.07,0,0,0,0,2.96,1.85,0.74,0,1.85,1.85,0.74,0.37,1.85,0,0,0.74
3Month,5.82,0,0.1,2.18,0,0.1,0.1,0.21,0,2.7,0.83,0.1,0.62,0.1,8.01,0.31,1.66,0.62,0,0.1,0.21,0,0,0.21,0,0,0.21,3.02,0,0,0,0.1,0.31
22Month,2.87,0.14,0.27,1.09,0,0.14,0.41,0.55,0.41,14.48,0.96,0.68,0.96,0,0.14,0.55,2.19,0.14,0.41,0.27,0,0.41,0,0,0.14,0,0.14,4.37,0,0,0,0,0.41
