stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
72hpf,0.28,0.28,1.13,0,0.56,0,0,0,0,0,0,0,1.41,0,1.41,0,0,0,0,1.69,0.56,0,0.85,0,0,0.28,0,0,0,0
21Day,0,1.11,4.07,0.37,0,0,0,0.37,0,0.37,0,0,0.37,0,0.37,0,0,0.74,0,0.74,0,0,0,0,0,0,0,0,0,0
3Month,0,3.22,8.11,0,0.21,0.1,1.04,3.02,0.31,0.42,0.42,0.1,10.61,0.62,1.46,0.1,0,0.21,0.21,0.62,0,0,0,0.21,0,0,0.1,11.86,0.52,0.42
22Month,0,3.28,2.6,0,0.14,0,0.27,3.55,0.27,0.14,0.27,0,0.82,0.82,1.23,0,0.55,0.14,0,0,0,0.14,0,0,0.27,0,0,0.27,0,0.14
