stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0,3.95,14.09,0,0.28,0.85,0,0,0,0.28,0,0,0.28,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,0,0.37,0.74,1.11,0.37,8.14,120.62,0,1.11,0.74,0,0,0,1.85,3.33,0.37,0,0.37,0,0.37
3Month,0,0,0.1,0.62,0,0.31,0,1.66,0.21,0,0.42,0.42,0.42,7.49,1.66,0.21,0,0,0.1,0,0,0.1,0.1,0.73,0,0,1.35,0
22Month,0,0.41,0,0.27,0.14,0,0.27,4.37,0.14,0,0.41,0.14,0.14,0.55,0.96,0,0,0,0,0.14,0.14,0,0,0.27,0,0,0,0
