stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,10,0,0,0,0,0,0,0,0,0,0,2,12,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,6.2,0.28,0,0,0,0,0,0,0,0,0,0,33.26,0,0.28,0,0,0,0,1.97,1.13,0,0,0.28,0,0,0.28,0,0,0
21Day,0,0,0,22.2,0.74,0,0,0,0,0,0.37,0.37,1.11,0.74,0.74,10.36,0.37,0,0,0,0.74,0,0.74,0.37,0,0,0,0.37,0,0,0,0,0.37
3Month,0,0.1,0.1,15.5,0,0.1,0.1,1.46,0.94,0,4.58,1.14,0.1,3.33,0.1,4.16,1.25,0.31,0.1,0,0.42,0.42,0.1,0,0.21,0.1,0,0.31,0.52,0,0.42,0.62,1.25
22Month,0.14,0,0,1.91,0,0.14,0,0.27,0.55,0.14,10.66,0,0,4.24,0,1.37,0.41,0.14,0,0.82,0.14,0.14,0,0,0,0.14,0,0,0.27,0,0,0,0.14
