stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,0,0,0,7,68,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.56,1.41,0.85,0.28,0,0,0,0,0,0,0,0,0.28,2.25,0.28,3.95,0,0.56,0.85,25.65,19.45,0,0.28,0,2.25,0,0,3.1,1.13,0.28,0,0,0
21Day,0.74,0,2.22,4.44,1.48,0,0,0,0,0.37,0,2.59,0.74,0,1.85,0.37,8.51,0,0,2.22,12.95,8.88,0,0,0,2.22,1.11,0,2.59,0.37,0,0,0,0.74
3Month,0,0.52,1.77,0,0.21,0.1,0.1,0.21,0,3.02,1.04,0.1,0.21,0.21,0.31,0.62,2.29,0.73,0,0.42,0.21,0.21,0.1,0.21,0,0.1,0,15.6,0,0,0,0.42,9.05,0.83
22Month,0,0.68,1.91,0,0.27,0,0,2.05,0.14,18.45,1.78,0.27,0.14,0.14,0.27,1.78,5.88,0.27,0.55,0.55,0.55,0,0.55,0.96,0.14,0.27,0,2.87,0.41,0,0,0,0.14,0.55
