stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0.85,0,0,0,0.56,0,0,0,0,0,0,0
21Day,0.37,0,0.37,2.96,0,0.37,0,0,0,0,0,0,0.37,0,2.22,0.37,1.85,0,1.48,0,1.85,0,0,0,0.37,0.37,0,0,0,0,0,0
3Month,0,7.07,0,5.51,0.21,0,0.21,0.21,0.62,1.46,0.52,0.1,0.21,0.62,15.6,0.21,7.8,1.25,0.52,0.21,0,0.1,0.1,0,0,0.21,0.83,0,0,0.52,0.52,0.21
22Month,0,15.71,0,3.14,0,0,0.14,0.27,0.82,4.1,0.14,0,0.14,0,2.6,3.01,17.49,0,0.41,0,0.14,0,0.14,0.14,0,0.14,0,0.14,0.14,0,0,0
