stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,11,9,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,4,18,0,0,4,0,0,0,0,0,0,0,0
72hpf,1.69,2.54,3.1,0.28,0,0,0,0,0,0,0,0.28,0,12.97,0,0.56,0,0,3.1,2.54,0,0,5.07,0,0,0,0,0.28,0.28,0,0
21Day,2.96,0,2.22,0.37,0,0,0,0.37,0,0.37,0.37,0.37,0,6.66,0,0,0.74,0,1.48,1.11,0.37,0,4.44,0.37,0,0,0.37,0.37,0,0,0
3Month,0,0.1,1.66,0,0.21,0.21,0,0.62,0.21,1.87,0,0.52,0.1,0.73,0.1,0,0,0.21,0,0,0,0.1,0,0.1,0.21,0.1,0,0,0,2.08,0.1
22Month,0,0.55,0.41,0,0.14,0.27,1.09,2.73,0,3.69,0,0.27,0.27,1.23,0.14,0,0,0,0.14,0,0.14,0.27,0,0,0.27,0,0,0,0,0,0.14
