stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0
3Month,0.52,0.21,0.1,0.42,0.21,0.1,0.21,0.1,0.21,0.1,0.1,0.1,17.99,1.46,0.21
22Month,0,0,0.14,0,0,0,0,0,0,0,0,0,1.09,0,0
