stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,2,0,0,0,0,8,0,1,1,0,0,0,0,2,39,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,3.1,0.28,0,0.28,0,1.41,0,0,1.13,3.66,0,0.28,0,0.56,0.28,0,5.64,0,0,0,0
21Day,0.37,0,0,1.11,0,0.74,0,0.37,0,0,0.74,0,0.74,1.11,0.74,0.74,0,0.74,0,0,2.22,0,0.37,1.85,0,0,0,0,0.37,0,0.74,0,0.37,0,0.37
3Month,0,0.1,0.31,17.47,0,0,1.46,0.83,0,0,3.43,0.83,0.1,3.02,0.94,0.1,0.62,1.98,0.73,0,0.83,0.42,0.21,0,0.52,0.73,0,0.21,0,5.41,0.52,0,0,48.89,0.62
22Month,0,0,1.37,17.08,0,0,4.24,10.11,7.52,0,53.02,0.55,0.27,25.96,0.96,0,1.5,4.78,0.14,0.82,1.78,0.41,0,0,1.37,1.23,0.14,0.14,0.14,10.8,3.83,0.14,0.14,0.14,0.27
