stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0,0,1.41,0,9.02,0,0.28,0,0,5.36,1.69,0,0,10.99,0,0,0,1.69,0,0,0
21Day,3.33,1.48,2.59,0,1.85,0,0,0,0,0.74,0.37,0,0,0,0.37,0,0,0.74,25.53,0,0,6.66,0,2.22,1.85,0,0.37,19.98,1.11,0,0.74,3.33,0,0,0
3Month,0.42,3.95,3.02,0.1,0,0.31,0.1,1.98,0.31,3.02,0,1.87,1.25,0.1,0.94,0.31,3.95,1.25,63.55,15.81,0,3.85,15.19,0.31,0.1,0.42,0.21,1.66,0.52,0.73,0.52,1.04,0.94,0.62,1.46
22Month,0.14,0.96,0.68,0,0,0.27,0,0.14,0,0.68,3.01,2.32,0,0,0.68,0,0.14,0.41,19.27,0.68,0,0.82,0,0.14,0.14,0,0.14,0.41,0,0.41,2.87,0.14,0,0,0.14
