stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,2.22,0,1.11,4.81,0.37,0,1.48,0,0,0.74,0,0,0.37,2.22,0.74,1.85,5.18,11.47,3.7,0,0,0,0,1.85,0,0.37,0,1.48,1.11,0,0,0.37,0.37,0.37,0,0,0.74
3Month,0.1,1.56,1.98,14.98,0,0.62,0.1,0.1,9.99,2.6,0,19.87,5.51,0,85.61,1.14,3.43,24.03,6.45,0.83,0,1.56,1.56,0.62,1.04,0,0,0,0.94,1.04,0.1,0.1,0,0.21,1.66,0.83,2.7
22Month,0.14,6.01,2.32,13.8,0,0.68,0.68,0,4.37,5.88,0.96,50.7,2.19,2.19,74.88,0.55,2.6,28.7,21.04,0.55,1.23,1.64,0.27,0.14,0.41,0.27,0.14,0,0.82,4.92,0.14,0,0,0,1.64,0,1.64
