stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0,0,1.13,3.1,0,0.28,0.28,0,0.28,0,0,0,0
21Day,1.11,0,0,0.37,0,0,0,0,0,0,0,2.59,0.37,0,2.22,1.11,0,0.37,0.74,1.48,0,1.11,0,0,0.37,0.37,0,0,1.48
3Month,0,0,0.21,0,0,0.1,0,0.1,0,0.1,0,0,0.21,0.21,0.21,0.1,0,0,0,0,0,0,0,0.42,0,0,0.1,0.1,0.52
22Month,0.14,0,0.82,0,0.14,0.14,0.14,0.96,0.27,5.06,0.27,0.14,0.41,0,0.55,0.68,0.14,0.14,0,0,0.14,0,0,0.27,0,0,0,0,0.27
