stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,3.1,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,4.07,0,0,0,0,0,0,0,0,0,0.37,0,4.44,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,8.53,0,0,0,0.1,0.52,0.83,0,3.33,0.31,2.08,0.52,0.52,0.73,0.62,0.1,0,0.21,0.1,0,0.21,0.21,0,0,0,0.42,0.31,0.1,0,0.1,0.42
22Month,0.27,1.23,0,0.14,0.14,0,0.27,0.68,0.27,7.24,0.41,1.78,0,0,0.68,0.55,0,0.27,0.14,0,0.41,0,0.14,0.14,0.14,0,0,0,0.14,0.14,0,0.55
