stage,Endothelial_cell,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,6,0,0,0,34,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0.28,0.28,0,0,0,0,0,0.56,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0.73,3.22,1.04,0.31,0.1,0,0.62,1.98,0.1,0.21,0.1,0.21,0.31,8.11,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.21,0.21
22Month,0.55,0.55,0,0.55,0.27,0,1.37,2.73,0.14,0.68,0,0.14,0.27,8.61,0.27,0,0,0,0.14,0,0,0,0.14,0.14,0,0,0
